pubs_name,pubs_location,pubs_type_name,Foster,KF,KF_ULTRA,KF_ULTRA_MAX,KF_PREMIUM,KF_STRONG,KF_STORM,KF_BLUE,Heineken,Corona,Corona_Extra,Budweiser,Budweiser_Magnum,Budweiser_Premium,Carlsberg,Carlsberg_Elephant,Stella_Artois,Hoagearden,Asahi,Tuborg,Tuborg_Premium,Tuborg_Strong,Tuborg_Green,Miller,Miller_Ace,Miller_high_life,Miller_Ultra_Max,Peroni,Bira_White,Bira_Blonde,Bira_Lite,Bira_IPA,Bira_Pale_Ale,Bira_Strong,Sol_Cerveza,Leffe_Blonde,UB,White_Owl_Spark,White_Owl_Diablo,Kings_Goa,Affligem_Blonde,Edelweiss,Desperades,Dos_Equis,Schneider_Weisse,Whitlinger,Amstel,Geist_Witty_wit,Geist_Weiss_Guy,Geist_Uncle_Dunkel,Estrella_Damm_Barcelona,Tsing_Tao,Cass,KronenBourg,Knock Out,Singha,Hywards 5000,Parga
Brooks and Bonds Brewery,Koramangala 5th Block,Microbrewery,,,200,200,180,,,,250,450,,200,,,,,550,570,,,,,,,,,,,250,210,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoot,Sarjapur Road,Pub,,,,,150,,,,,,,,,,,,,,,150,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toit*****,Indiranagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communiti*,Residency Road,Microbrewery,,,,,,,,,,470,,260,460,,360,,470,470,,290,,,,200,,,,,325,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koramangala Social*,Koramangala 7th Block,Lounge,,120,175,175,,,,,260,,475,175,260,,,,475,475,,,,,,,,,,,275,275,275,275,,,475,475,,,,,475,475,475,475,,,,,,,,,,,,,,
Biergarten***,Whitefield,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Reservoire*,Koramangala 5th Block,Pub,150,,160,160,140,150,,,200,425,,190,200,,180,,425,425,425,150,,160,,,,,,,250,240,240,240,,,,,,,,190,425,425,,,,280,,,,,,,,,,,,
Gilly's Restobar*,Koramangala 5th Block,Pub,,,180,190,110,170,250,,200,,,395,,,180,,395,395,,,,,,,,,,,200,200,200,,,,350,,,,,,395,395,,,,,,,,,,,,,,,,
The 13th Floor*,Barton Centre,Lounge,300,,,,,,,,280,550,,350,375,,,,550,550,,,,,,,,,,,275,275,275,275,,,,550,,275,275,,,,,,,,,,,,,,,,,,,
Vapour Pub & Brewery***,Indiranagar,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hangover*,HSR,Bar,,,225,225,175,,,,275,575,,225,205,,,,575,575,575,,,,,,,,,,275,275,,,,,,575,,,,,,,,,,,,,,,,,,,,,,
Boho,Koramangala 5th Block,Bar,,120,170,160,,150,,,250,475,,180,190,,,,475,475,,,,,,,,,,,250,250,250,250,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammered*,Cunningham Road,Pub,175,,205,205,150,,,,275,450,,205,,,,,450,450,,,,,,,,,,,215,205,,,,,450,,,,,,,450,450,,,,,,,,,,,,,,,
The Black Rabbit*,"Escape Hotel & Spa, Indiranagar",Bar,,,,,,,,,,545,,,275,245,,,545,545,,,,,,,,245,,,,,,,,,,545,,,,,,,,,,,,,,,,,,,,,,
Indigo XP*,Koramangala 5th Block,Pub,160,,,,,,,,,,450,,230,200,,,450,450,,,,,,,,,,,220,240,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Druid Garden***,Sahakara Nagar,Microbrewery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
